,name,value
0,Global,0.153864526
1,"Southeast Asia, East Asia, and Oceania",0.214876805
2,East Asia,0.217349859
3,China,0.219670669
4,North Korea,0.191700862
5,Taiwan (Province of China),0.115076445
6,Southeast Asia,0.208672619
7,Cambodia,0.15352924
8,Indonesia,0.255894949
9,Laos,0.251113918
10,Malaysia,0.171624467
11,Maldives,0.19200931
12,Myanmar,0.150015728
13,Philippines,0.200647222
14,Sri Lanka,0.099977063
15,Thailand,0.17941842
16,Timor-Leste,0.240935167
17,Vietnam,0.188311153
18,Oceania,0.237644777
19,Fiji,0.111075131
20,Kiribati,0.338913508
21,Marshall Islands,0.139042136
22,Federated States of Micronesia,0.129594322
23,Papua New Guinea,0.261192613
24,Samoa,0.215480412
25,Solomon Islands,0.178631186
26,Tonga,0.222716198
27,Vanuatu,0.157647757
28,"Central Europe, Eastern Europe, and Central Asia",0.229975202
29,Central Asia,0.148946914
30,Armenia,0.218760748
31,Azerbaijan,0.219607304
32,Georgia,0.213264316
33,Kazakhstan,0.209579625
34,Kyrgyzstan,0.173994029
35,Mongolia,0.217066067
36,Tajikistan,0.098520779
37,Turkmenistan,0.071746104
38,Uzbekistan,0.087876859
39,Central Europe,0.242933756
40,Albania,0.156497518
41,Bosnia and Herzegovina,0.305074679
42,Bulgaria,0.302980506
43,Croatia,0.269680452
44,Czech Republic,0.244907764
45,Hungary,0.250719164
46,Macedonia,0.313880349
47,Montenegro,0.310230341
48,Poland,0.241382411
49,Romania,0.219368448
50,Serbia,0.238159649
51,Slovakia,0.209253527
52,Slovenia,0.201637713
53,Eastern Europe,0.252369438
54,Belarus,0.276184013
55,Estonia,0.222372998
56,Latvia,0.269436843
57,Lithuania,0.225953769
58,Moldova,0.19445518
59,Russia,0.252628833
60,Ukraine,0.253520684
61,High-income,0.174825581
62,High-income Asia Pacific,0.184171762
63,Brunei,0.126663656
64,Japan,0.172000376
65,South Korea,0.220617624
66,Singapore,0.124020438
67,Australasia,0.146970467
68,Australia,0.145827957
69,New Zealand,0.15311316
70,Western Europe,0.202352656
71,Andorra,0.205853249
72,Austria,0.252474925
73,Belgium,0.186518163
74,Cyprus,0.263440281
75,Denmark,0.175237433
76,Finland,0.168193087
77,France,0.213734387
78,Germany,0.21156691
79,Greece,0.312043592
80,Iceland,0.146569473
81,Ireland,0.216091403
82,Israel,0.178272299
83,Italy,0.194454698
84,Luxembourg,0.209366606
85,Malta,0.187665021
86,Netherlands,0.178761696
87,Norway,0.15343949
88,Portugal,0.177970994
89,Spain,0.218403394
90,Sweden,0.113909677
91,Switzerland,0.19128183
92,United Kingdom,0.186740209
93,Southern Latin America,0.199977102
94,Argentina,0.177058939
95,Chile,0.255721241
96,Uruguay,0.18574554
97,High-income North America,0.133729218
98,Canada,0.138099813
99,United States,0.133177002
100,Latin America and Caribbean,0.100417986
101,Caribbean,0.097992453
102,Antigua and Barbuda,0.033207846
103,The Bahamas,0.061443751
104,Barbados,0.042490499
105,Belize,0.070548316
106,Cuba,0.161713358
107,Dominica,0.038903377
108,Dominican Republic,0.066954627
109,Grenada,0.063990749
110,Guyana,0.08619434
111,Haiti,0.052422017
112,Jamaica,0.093777142
113,Saint Lucia,0.080401089
114,Saint Vincent and the Grenadines,0.063884522
115,Suriname,0.176786563
116,Trinidad and Tobago,0.145904552
117,Andean Latin America,0.093255729
118,Bolivia,0.196452628
119,Ecuador,0.050177605
120,Peru,0.081228061
121,Central Latin America,0.097812124
